DECEMBER 2006 CRIME STATS - FREMON                                          
                                                                            
AUTO BURGLARY                                                               
             Location             Reported DateReceived Ti                  
CENTRAL AV/ GLENMOOR DR              12/01/2006    0:53:45                  
40560 VERNE ST                       12/02/2006    3:14:43                  
4335 TORRES AV                       12/01/2006    0:00:00                  
4624 BALBOA WY                       12/01/2006    0:00:00                  
4961 NORRIS RD                       12/02/2006    0:00:00                  
46100 LANDING PK                     12/03/2006    0:00:00                  
44950 NARAGANSETT CT                 12/03/2006    0:00:00                  
42200 ALBRAE ST                      12/03/2006    0:00:00                  
4942 HYDE PARK DR                    12/04/2006    0:00:00                           
1799 KERN LP                         12/05/2006    8:48:55                  
5400 MOWRY AV                        12/03/2006    6:37:07                  
3411 CAPITOL AV                      12/04/2006   20:39:40                  
39655 TRINITY WY                     12/04/2006    0:00:00                  
3411 CAPITOL AV                      12/04/2006    0:00:00                  
757 BIG FOOT CT                      12/05/2006    0:00:00                  
340 TUMBLEWEED CT                    12/05/2006    0:00:00                  
44959 WASHO CT                       12/05/2006    0:00:00                  
38420 TIMPANOGAS CI                  12/05/2006    0:00:00                  
47107 BENNS TR                       12/06/2006   11:33:56                  
40425 CHAPEL WY                      12/06/2006    0:00:00                  
46650 LANDING PK                     12/06/2006    0:00:00                  
3599 PENNSYLVANIA AV                 12/06/2006    0:00:00                  
4514 THORNTON AV                     12/06/2006    0:00:00                  
39503 SUNDALE CT                     12/07/2006   19:47:59                  
41429 FREMONT BL                     12/06/2006    0:00:00                  
37800 CAMDEN ST                      12/07/2006    0:00:00                  
2987 MOUNTAIN DR                     12/07/2006    0:00:00                  
3304 RED CEDAR TR                    12/07/2006    0:00:00                  
3046 MOUNTAIN DR                     12/07/2006    0:00:00                  
321 BAYBERRY CO                      12/07/2006    0:00:00                  
4824 MAYFIELD DR                     12/07/2006    0:00:00                  
37800 CAMDEN ST                      12/08/2006    0:00:00                  
4650 DOANE ST                        12/09/2006    0:00:00                  
40171 LESLIE ST                      12/09/2006    0:00:00                  
3411 CAPITOL AV                      12/09/2006    0:00:00                  
42200 ALBRAE ST                      12/10/2006   11:30:07                  
FREMONT BL/ PASEO PADRE PK           12/10/2006   11:07:27                  
2000 STEVENSON BL                    12/09/2006    0:00:00                  
39150 SUNDALE DR                     12/10/2006    0:00:00                  
48006 CHANN CT                       12/10/2006    0:00:00                  
39370 CIVIC CENTER DR                12/10/2006    0:00:00                  
34793 ARDENWOOD BL                   12/10/2006    0:00:00                  
36030 TURPIN WY                      12/11/2006    0:00:00                  
401 WHITNEY PL                       12/12/2006   18:12:46                  
200 BROWN RD                         12/11/2006    0:00:00                  
48133 WARM SPRINGS BL                12/12/2006    0:00:00                  
4343 STEVENSON BL                    12/13/2006   17:13:18                  
3863 MILTON TR                       12/14/2006    0:00:00                  
4217 NERISSA CI                      12/14/2006    0:00:00                  
211 KANSAS WY                        12/14/2006    0:00:00                  
4260 NERISSA CI                      12/14/2006    0:00:00                  
4875 MOWRY AV                        12/15/2006    0:00:00                  
38839 LITCHFIELD CI                  12/15/2006    0:00:00                  
38651 CHRISHOLM PL                   12/15/2006    0:00:00                  
42638 SCOFIELD DR                    12/15/2006    0:00:00                  
747 GLENHILL CT                      12/15/2006    0:00:00                  
5000 HYDE PARK DR                    12/15/2006    0:00:00                  
583 WOODWARD PL                      12/15/2006    0:00:00                  
41659 JOYCE AV                       12/15/2006    0:00:00                  
46848 MISSION BL                     12/16/2006    0:00:00                  
4200 BAY ST                          12/16/2006    0:00:00                  
41820 COVINGTON DR                   12/16/2006    0:00:00                  
41376 DANZON CT                      12/16/2006    0:00:00                  
46457 LANDING PK                     12/16/2006    0:00:00                  
41563 PATTON TR                      12/16/2006    0:00:00                  
33736 WELK TR                        12/16/2006    0:00:00                  
839 UINTA CT                         12/15/2006    0:00:00                  
4950 STEVENSON BL                    12/15/2006    0:00:00                  
782 HAWTHORNE DR                     12/15/2006    0:00:00                  
1428 SAN BENITO DR                   12/15/2006    0:00:00                  
33592 BARDOLPH CI                    12/17/2006    0:00:00                  
39345 ZACATE AV                      12/17/2006    0:00:00                  
3400 STEVENSON BL                    12/19/2006    0:00:00                  
37049 OAK ST                         12/19/2006    0:00:00                  
5202 CURTIS ST                       12/19/2006    0:00:00                  
4381 MOWRY AV                        12/19/2006    0:00:00                  
35582 ROCKLAND CT                    12/20/2006    0:00:00                  
5984 ROXIE TR                        12/21/2006    0:00:00                  
4853 GERTRUDE DR                     12/21/2006    0:00:00                  
46848 MISSION BL                     12/22/2006    1:46:29                  
39999 BLACOW RD                      12/22/2006   12:29:18                  
2000 STEVENSON BL                    12/22/2006    0:00:00                  
449 CRAYCROFT DR                     12/22/2006    0:00:00                  
2175 DECOTO RD                       12/22/2006    0:00:00                  
ELLSWORTH ST/ PINE ST                12/23/2006    4:37:10                  
ELLSWORTH ST/ PINE ST                12/23/2006    4:37:10                  
ELLSWORTH ST/ PINE ST                12/23/2006    4:37:10                  
42860 VIA PUEBLA                     12/23/2006    7:28:43                  
4862 BALBOA WY                       12/23/2006    0:00:00                  
313 STARLITE WY                      12/23/2006    0:00:00                  
2809 LANGHORN DR                     12/24/2006    0:00:00                  
41927 BENBOW DR                      12/26/2006    6:22:28                  
41927 BENBOW DR                      12/26/2006    6:22:28                  
3766 OXFORD CO                       12/26/2006   15:06:08                  
38000 CAMDEN ST                      12/26/2006   19:07:58                  
3330 COUNTRY DR                      12/25/2006    0:00:00                  
416 DE LEON AV                       12/27/2006    5:38:28                  
406 OHLONES ST                       12/27/2006   13:28:43                  
40645 FREMONT BL                     12/27/2006    0:00:00                  
35462 LANCERO ST                     12/27/2006    0:00:00                  
40049 FREMONT BL                     12/27/2006    0:00:00                  
36030 TURPIN WY                      12/27/2006    0:00:00                  
185 WOODCREEK TR                     12/28/2006    0:00:00                  
44390 ARAPAHO AV                     12/28/2006    0:00:00                  
38767 LITCHFIELD CI                  12/28/2006    0:00:00                  
4731 PARDEE AV                       12/28/2006    0:00:00                  
44250 OLD WARM SPRINGS BL            12/29/2006    0:00:00                  
36601 RIVIERA DR                     12/29/2006    0:00:00                  
46936 MASONIC TR                     12/29/2006    0:00:00                  
37465 PARISH CI                      12/29/2006    0:00:00                  
39507 ROSS CO                        12/29/2006    0:00:00                  
42840 CHRISTY ST                     12/29/2006    0:00:00                  
2000 STEVENSON BL                    12/29/2006    0:00:00                  
4874 SENECA PARK AV                  12/30/2006    5:42:48                  
43241 GIOVANNI TR                    12/30/2006    0:00:00                  
                                                                            
RESIDENTIAL BURGLARY                                                        
46853 RANCHO HIGUERA RD              12/01/2006    8:19:26                  
45296 ELK CT                         12/02/2006    7:15:57                  
34851 POTOMAC RIVER PL               12/02/2006   10:22:42                  
4725 MALLARD CO                      12/04/2006   14:02:49                  
4120 MARGERY DR                      12/04/2006   14:02:14                  
34203 SIWARD DR                      12/04/2006   15:25:31                  
2327 VALORIE ST                      12/04/2006   18:26:54                  
38365 CANYON HEIGHTS DR              12/04/2006   16:01:12                  
43853 N MORAY ST                     12/04/2006   18:23:22                  
41976 HIGGINS WY                     12/04/2006   21:46:26                  
5404 BUCKNER TR                      12/04/2006   21:07:35                  
34367 TUPELO ST                      12/05/2006   20:19:47                  
35995 FREMONT BL                     12/06/2006    9:38:03                  
119 WENATCHEE CO                     12/06/2006   10:53:55                  
748 SUNRISE DR                       12/06/2006   23:30:01                  
336 GOLDENRAIN AV                    12/07/2006   10:29:14                  
5021 XAVIER CO                       12/07/2006   10:30:58                  
35583 CHAPLIN DR                     12/07/2006   16:18:39                  
37043 ELM ST                         12/07/2006   20:48:07                  
405 RANCHO ARROYO PK                 12/08/2006   16:07:09                  
35809 CARNATION WY                   12/08/2006   17:05:55                  
32864 BASS LAKE ST                   12/08/2006   18:39:11                  
38684 KIMBRO ST                      12/09/2006   11:10:16                  
4240 ALDER AV                        12/10/2006    0:02:07                  
42700 ALBRAE ST                      12/09/2006    0:00:00                  
48980 TULARE DR                      12/11/2006   15:47:33                  
34555 PUEBLO TR                      12/11/2006   15:40:50                  
212 WOODCREEK TR                     12/11/2006   17:51:31                  
255 QUINAULT WY                      12/11/2006   18:17:36                  
5388 SHAMROCK CO                     12/11/2006   21:15:53                  
2908 SANDERLING DR                   12/12/2006    6:59:46                  
47480 CHOLLA ST                      12/12/2006    8:46:49                  
3328 KESTREL PL                      12/12/2006    9:09:09                  
380 LOWER VINTNERS CI                12/12/2006   19:03:44                  
45536 ANTELOPE DR                    12/12/2006   19:03:44                  
4546 MACBETH AV                      12/13/2006   18:57:23                  
4499 MACBETH AV                      12/13/2006   20:47:47                  
34304 EUCALYPTUS TR                  12/14/2006    3:47:18                  
43344 ARKWOOD ST                     12/14/2006    9:46:25                  
4852 TOUCHSTONE TR                   12/14/2006   12:29:27                  
232 MANITOBA GR                      12/14/2006   16:39:51                  
228 HACKAMORE CO                     12/15/2006   15:20:33                  
3417 PENNSYLVANIA CO                 12/15/2006   17:06:07                  
39812 MISSION BL                     12/18/2006    8:06:11                  
46624 WINDMILL DR                    12/18/2006    8:14:10                  
1901 CURTNER RD                      12/17/2006    0:00:00                  
