FREMONT COMMUNITY CRIME STATS                   
NOVEMBER 1, 2006 - NOVEMBER 30, 20              
                                                
HOMICIDE                                        
             Location             Reported Date     Time     
4279 OTHELLO DR                       11/21/2006     16:13:01
34047 FREMONT BL                      11/28/2006     11:19:55
                                                
AUTO BURGLARY                                   
             Location             Reported Date     Time     
41299 PASEO PADRE PK                  11/01/2006      0:00:00
2000 STEVENSON BL                     11/01/2006      0:00:00
41040 LINCOLN ST                      11/02/2006      0:00:00
3321 HOWARD CO                        11/02/2006      0:00:00
40910 FREMONT BL                      11/03/2006      0:00:00
4062 EUGENE ST                        11/04/2006     13:04:10
46650 LANDING PK                      11/03/2006      0:00:00
46650 LANDING PK                      11/05/2006      0:00:00
4067 SUNSET TR                        11/06/2006      8:48:39
39125 FREMONT HUB                     11/05/2006      0:00:00
39001 FREMONT HUB                     11/06/2006      0:00:00
46711 CRAWFORD ST                     11/07/2006     15:06:38
823 STINGRAY TR                       11/07/2006      0:00:00
40640 HIGH ST                         11/07/2006      0:00:00
38660 LEXINGTON ST                    11/07/2006      0:00:00
40606 BLACOW RD                       11/08/2006      0:00:00
3695 STEVENSON BL                     11/08/2006      0:00:00
37491 PARISH CI                       11/08/2006      0:00:00
4973 CENTRAL AV                       11/08/2006      0:00:00
47370 WARM SPRINGS BL                 11/08/2006      0:00:00
4042 CLIPPER CT                       11/08/2006      0:00:00
3326 RED CEDAR TR                     11/09/2006      0:00:00
381 DE SALLE TR                       11/10/2006      9:53:18
387 DE SALLE TR                       11/10/2006      8:07:10
393 DE SALLE TR                       11/10/2006     10:11:21
38730 LEXINGTON ST                    11/10/2006      0:00:00
39125 FREMONT HUB                     11/12/2006     12:49:01
39125 FREMONT HUB                     11/12/2006     12:49:01
43269 OSGOOD RD                       11/11/2006      0:00:00
43269 OSGOOD RD                       11/11/2006      0:00:00
2000 STEVENSON BL                     11/12/2006      0:00:00
117 EL DORADO CO                      11/12/2006      0:00:00
5200 MOWRY AV                         11/12/2006      0:00:00
156 OBISPO CT                         11/12/2006      0:00:00
2000 STEVENSON BL                     11/12/2006      0:00:00
39370 CIVIC CENTER DR                 11/13/2006      0:00:00
4247 WARBLER LP                       11/13/2006      0:00:00
34445 NYLANDER TR                     11/14/2006      3:00:39
4299 BAY ST                           11/15/2006     22:20:50
36163 FREMONT BL                      11/16/2006      0:00:00
4686 EGGERS DR                        11/16/2006      0:00:00
7150 STEVENSON BL                     11/17/2006      0:00:00
4263 BAY ST                           11/19/2006      0:00:00
37813 LOS ARBOLES DR                  11/20/2006      9:13:05
35603 MORLEY PL                       11/21/2006      0:00:00
35625 BROOKVALE CT                    11/21/2006      0:00:00
35417 MORLEY PL                       11/21/2006      0:00:00
35630 MORLEY PL                       11/21/2006      0:00:00
38149 GLENMOOR DR                     11/21/2006      0:00:00
46101 RESEARCH AV                     11/22/2006      0:00:00
4250 CENTRAL AV                       11/22/2006      0:00:00
40990 GRIMMER BL                      11/22/2006      0:00:00
2481 NIGHT SHADE LN                   11/23/2006      0:00:00
2090 LOCKWOOD AV                      11/23/2006      0:00:00
38329 BRONSON ST                      11/25/2006      0:00:00
2000 STEVENSON BL                     11/24/2006      0:00:00
46312 MISSION BL                      11/24/2006      0:00:00
34309 KENWOOD DR                      11/24/2006      0:00:00
39160 PASEO PADRE PK                  11/23/2006      0:00:00
