FREMONT COMMUNITY CRIME STATS                           
OCTOBER 1, 2006 - OCTOBER 31, 2006                      
                                                        
                                                        
               Location                  Reported Date  Reported Time
AUTO BURGLARY                                           
39131 FREMONT BL                              10/01/2006      0:00:00
3400 STEVENSON BL                             10/03/2006      0:34:29
48860 GREEN VALLEY RD                         10/02/2006      0:00:00
HACKAMORE LN/ WARM SPRINGS BL                 10/02/2006      0:00:00
4762 CANVASBACK CO                            10/04/2006      0:00:00
4950 STEVENSON BL                             10/04/2006      0:00:00
185 E WARREN CO                               10/05/2006      0:00:00
37209 ALEXANDER ST                            10/06/2006      6:01:52
374 SEQUIM CO                                 10/08/2006      0:00:00
3682 INDEPENDENCE RD                          10/08/2006      0:00:00
46200 LANDING PK                              10/08/2006      0:00:00
34047 FREMONT BL                              10/10/2006      9:01:30
42240 FREMONT BL                              10/10/2006     12:08:58
2370 CARPENTER CT                             10/10/2006     18:02:12
1675 BLACKFOOT DR                             10/10/2006      0:00:00
41589 ALBRAE ST                               10/10/2006      0:00:00
3909 THORNTON AV                              10/10/2006      0:00:00
36000 FREMONT BL                              10/10/2006      0:00:00
44853 FREMONT BL                              10/12/2006      0:00:00
3619 WYNDHAM DR                               10/12/2006      0:00:00
39439 PASEO PADRE PK                          10/13/2006     11:51:44
37352 SPRUCE TR                               10/12/2006      0:00:00
4089 DARWIN DR                                10/13/2006      0:00:00
2557 MOWRY AV                                 10/13/2006      0:00:00
44847 FREMONT BL                              10/13/2006      0:00:00
37248 MEADOWBROOK CO                          10/13/2006      0:00:00
40000 PASEO PADRE PK                          10/16/2006      0:00:00
1230 BEETHOVEN CO                             10/16/2006      0:00:00
4992 MATTOS DR                                10/16/2006      0:00:00
806 BOAR CI                                   10/18/2006     14:26:28
39022 PRESIDIO WY                             10/18/2006      0:00:00
2000 STEVENSON BL                             10/18/2006      0:00:00
4056 ABBEY TR                                 10/20/2006      0:00:00
37451 JANSEN TR                               10/20/2006      0:00:00
39001 FREMONT HUB                             10/19/2006     16:25:43
34560 PUEBLO TR                               10/22/2006     13:21:06
4261 STEVENSON BL                             10/22/2006      0:00:00
5375 FARWELL PL                               10/22/2006      0:00:00
39224 GUARDINO DR                             10/23/2006      0:00:00
34747 TUXEDO CO                               10/24/2006      0:00:00
38000 CAMDEN ST                               10/24/2006      0:00:00
5521 DEWEY PL                                 10/25/2006      0:00:00
3816 BURTON CO                                10/25/2006      0:00:00
5660 BOSCELL CO                               10/25/2006      0:00:00
4462 ARDO ST                                  10/26/2006      0:00:00
36 MISSION RIDGE CT                           10/26/2006      0:00:00
405 RANCHO ARROYO PK                          10/30/2006      3:06:07
37581 CHAUNTRY                                10/31/2006      0:00:00
                                                        
RESIDENTIAL BURGLARY                                    
42831 RAVENSBOURNE PARK ST                    10/02/2006     11:21:50
4432 CORDOVA PL                               10/02/2006     11:32:35
117 PEONY CT                                  10/02/2006     12:56:51
4545 DE SILVA ST                              10/02/2006     13:13:17
40299 LINARIA CI                              10/02/2006     14:16:32
780 LITTLE FOOT DR                            10/02/2006     12:44:07
