# This list of grammars gets inserted into the Java source code.
# See the indicated URLs for documentation.
# Although we don't use the URLs anymore in the program (the CGI version used
# to let you jump to the page, but that created too many complications for
# the non-CGI version) we'll leave the URLs in anyway, just for documentation.
#
# It's ok to edit this file as long as you retain the existing format,
# and in particular:
# 1. Put an exclamation mark between fields.
# 2. Do not put exclamation marks anywhere else.
# 3. Put comments (such as this line) after a # sign.
#
# Name                                       LU      ave. duration   url
#
"Cantonese 8-digit number strings"!           1.19!     10.83! "http://intranet/provisioning/cantonese/digit8.html"
"Cantonese dates"!                            1.32!      3.03! "http://intranet/provisioning/cantonese/date.html"
"Cantonese place names"!                      2.79!      2.72! "http://intranet/provisioning/cantonese/place.html"
"Cantonese 655 company names"!                2.10!      3.10! "http://intranet/provisioning/cantonese/company.html"

"Dutch 1590 cities"!    3.95!    3.68! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Dutch dates"!    1.66!    5.38! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Dutch money"!    2.08!    4.73! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Dutch broad yes/no"!    0.89!    2.81! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Dutch zip codes"!      2.39!    5.27!  "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Dutch variable digits"!    1.55!    8.30! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Dutch fixed digits"!    1.42!    8.25! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"

"English.America Narrow yes/no"!                  0.92!     1.01!  "http://intranet/provisioning/yes-no-narrow.html"
"English.America Broad yes/no"!                   1.42!     1.09!  "http://intranet/provisioning/yes-no-broad.html"

"English.America 4-digit strings"!                1.12!     2.90!  "http://intranet/provisioning/4-digits.html"
"English.America 8-digit strings"!                1.12!     4.93!  "http://intranet/provisioning/8-digits.html"

"English.America 3-letter, 2-number strings"!     3.57!     3.20!  "http://intranet/technical/research/tech-dev/parameters.html"
# From GE-appliance.  Ave duration in testset was actually 4.08, but that can't be right.  Settings are as recommended
# in the documentation page (tech-dev/parameters.html).

"English.America 2-letter, 5-number strings"!     3.03!     4.71!  "http://intranet/technical/research/tech-dev/parameters.html"
# AAdvantage numbers. Settings are as recommended in the tech-dev/parameters.html page above.

#11-character alphadigit strings""!            1.29!     9.00!  "http://intranet/provisioning/barcode.html"
#18-character alphadigit strings""!            1.29!    13.60!  "http://intranet/provisioning/barcode.html"

#"English.America 50 town names"!                  1.69!     1.70!  "http://intranet/provisioning/50-towns.html"

"English.America Dates"!                          2.18!     1.88!  "http://intranet/provisioning/date.html"
"English.America Time of day"!                    1.91!     1.85!  "http://intranet/provisioning/none_yet.html"

"English.America Dollar amounts"!                 2.39!     2.82!  "http://intranet/provisioning/dollars.html"

"English.America 500 stock names"!                3.49!     2.15!  "http://intranet/provisioning/quotes-500.html"
"English.America 2,000 stock names"!              4.03!     2.02!  "http://intranet/provisioning/quotes-2000.html"
"English.America 14,995 stock names"!             4.67!     2.11!  "http://intranet/provisioning/quotes.html"
"English.America 5,000 fund names"!               2.77!     2.88!  "http://intranet/provisioning/mutual-funds.html"
"English.America TickerTalk complete orders"!     5.79!     4.38!  "http://intranet/provisioning/tickertalk.html"

"English.America Air travel departure cities"!    4.25!     2.17!  "http://intranet/provisioning/city-dept.html"
"English.America Air travel destination cities"!  4.50!     1.88!  "http://intranet/provisioning/city-dest.html"

"English.America Dialer with 50 names"!           1.73!     1.83!  "http://intranet/provisioning/people-names-50.html"
#"English.America Dialer with 100 names"!          2.05!     1.83!  "http://intranet/provisioning/people-names-100.html"
#"English.America Dialer with 200 names"!          2.84!     1.83!  "http://intranet/provisioning/people-names-200.html"
"English.America Dialer with 500 names"!          3.36!     1.83!  "http://intranet/provisioning/people-names-500.html"
#"English.America Dialer with 1,000 names"!        4.03!     1.83!  "http://intranet/provisioning/people-names-1000.html"
#"English.America Dialer with 2,000 names"!        4.33!     1.83!  "http://intranet/provisioning/people-names-2000.html"
"English.America Dialer with 5,000 names"!        5.76!     1.83!  "http://intranet/provisioning/people-names-5000.html"
#"English.America Dialer with 10,000 names"!       6.72!     1.83!  "http://intranet/provisioning/people-names-10000.html"
#"English.America Dialer with 20,000 names"!       7.63!     1.83!  "http://intranet/provisioning/people-names-20000.html"
"English.America Dialer with 50,000 names"!       8.84!     1.83!  "http://intranet/provisioning/people-names-50000.html"
#"English.America Dialer with 65,000 names"!       9.58!     1.83!  "http://intranet/provisioning/people-names-65000.html"
